year,date,median,low,high
2019,2019-04-08,21,0,338
2019,2019-04-09,20,0,346
2019,2019-04-10,21,0,372
2019,2019-04-11,22,0,332
2019,2019-04-12,22,0,420
2019,2019-04-13,20,0,756
2019,2019-04-14,16,0,566
2019,2019-04-15,24,0,359
2019,2019-04-16,25,0,369
2019,2019-04-17,21,0,405
2019,2019-04-18,23,0,397
2019,2019-04-19,23,0,639
2019,2019-04-20,20,0,835
2019,2019-04-21,9,0,102
2019,2019-04-22,19,0,504
2019,2019-04-23,22,0,1030
2019,2019-04-24,21,0,1356
2019,2019-04-25,21,0,1573
2019,2019-04-26,21,0,2071
2019,2019-04-27,19,0,1643
2019,2019-04-28,12,0,1738
2019,2019-04-29,20,0,2019
2019,2019-04-30,18,0,2286
2019,2019-05-01,20,0,2691
2019,2019-05-02,22,0,1405
2019,2019-05-03,23,0,449
2019,2019-05-04,19,0,732
2019,2019-05-05,10,0,490
2019,2019-05-06,21,0,339
2019,2019-05-07,18,0,307
2019,2019-05-08,23,0,409
2019,2019-05-09,22,0,344
2019,2019-05-10,25,0,469
2019,2019-05-11,21,0,820
2019,2019-05-12,12,0,543
2019,2019-05-13,18,0,397
2019,2019-05-14,19,0,468
2019,2019-05-15,25,0,571
2019,2019-05-16,23,0,754
2019,2019-05-17,24,0,665
2019,2019-05-18,21,0,730
2019,2019-05-19,13,0,691
2019,2019-05-20,19,0,305
2019,2019-05-21,20,0,331
2019,2019-05-22,20,0,392
2019,2019-05-23,19,0,309
2019,2019-05-24,23,0,448
2019,2019-05-25,16,0,739
2019,2019-05-26,13,0,506
2019,2019-05-27,14,0,663
2019,2019-05-28,19,0,548
2019,2019-05-29,21,0,478
2019,2019-05-30,20,0,472
2019,2019-05-31,26,0,448
2019,2019-06-01,19,0,671
2019,2019-06-02,14,0,538
2019,2019-06-03,21,0,421
2019,2019-06-04,22,0,531
2019,2019-06-05,22,0,415
2019,2019-06-06,22,0,445
2019,2019-06-07,24,0,449
2019,2019-06-08,21,0,786
2019,2019-06-09,12,0,499
2019,2019-06-10,17,0,422
2019,2019-06-11,23,0,437
2019,2019-06-12,23,0,790
2019,2019-06-13,17,0,509
2019,2019-06-14,22,0,495
2019,2019-06-15,17,0,833
2019,2019-06-16,12,0,504
2019,2019-06-17,20,0,392
2019,2019-06-18,20,0,413
